job_title,company_name,location,is_remote,salary_min,salary_max,skills_required,experience,date_posted,job_url,description
Lead Data Analyst Python SQL,Airtel Digital Limited,IN,False,,,,,2026-03-16T00:00:00.000Z,https://www.shine.com/jobs/lead-data-analyst-python-sql/airtel-digital-limited/18770923,"As a Lead Data Analyst at Airtel, you will play a pivotal role in driving data-backed decision-making by providing actionable insights across various business functions. You will work independently to analyze complex business data related to sales, revenue, customer experience, and financial operati"
"Data, Analytics",Future-Able,IN,False,,,,,2026-04-08T00:00:00.000Z,https://www.shine.com/jobs/data-analytics/future-able/18915604,"As a part of the Future-Able team, you will be working with various organizations in the digital, data, and marketing technology domains. We are looking to expand our network of specialists based in India to contribute to our ongoing and upcoming projects. Specifically, we are seeking individuals wi"
GSPANN - Senior Data Analyst - Python/SQL,GSPANN Technologies (India) Pvt. Ltd,New Delhi,False,,,,,2026-03-17T00:00:00.000Z,https://in.jooble.org/jdp/1771853139407914461,"Job Position : Sr. Data AnalystExperience : 5+ yearsLocation : Gurgaon / Hyderabad / PuneSkills : Data Analyst & SQL, Cloud and (Pyspark/Python preferred)We are hiring for a ""Data Analyst"" position in Hyderabad/Gurgaon / Pune, India.We are looking for a highly skilled Senior Data Analyst with over 5"
"AI/ML Data Analyst-Node JS, Python, SQL",Cortex Consultants,Hyderabad,False,,,,,2026-04-05T00:00:00.000Z,https://in.trabajo.org/job-4056-fe87a66c9d1293b3ed6c690641943c27,"Job Title: AI/ML Data Analyst
Location: Hyderabad, India
Experience: 3-6 years
Employment Type: Full-time
Working Style: Hybrid

The Opportunity:
We are seeking a highly skilled AI/ML Data Analyst to develop and deploy machine learning models, optimize data pipelines, and drive AI-driven innovation."
Performance and Web Analytics-Python(SQL)-Data Scientist-ML,LTIMindtree,Noida,False,,,,,2026-03-12T00:00:00.000Z,https://in.linkedin.com/jobs/view/performance-and-web-analytics-python-sql-data-scientist-ml-at-ltimindtree-4384236393,"Performance Analyst

Location: Any LTM office(Hybrid)

Job Responsibilities

• Dive deep into web analytics and user journey analysis to understand customer behavior and optimize conversion paths
• Build and maintain Analytics dashboards for executive stakeholders and create custom metrics segments "
Data Analyst - Pricing & Promotions,Victoria S Secret,IN,False,,,,,2026-04-07T00:00:00.000Z,https://www.shine.com/jobs/data-analyst-pricing-promotions/victoria-s-secret/18900049,"Role Overview:
You will be responsible for collecting, organizing, and analyzing data related to product assortment, sales, and customer behavior. Using Python, SAS, SQL, Excel, and other relevant technologies, you will deliver analytics, dashboards, and automated recurring insights/reports at the d"
Python Data Analysis/ Modeller,People Prime Worldwide,IN,False,,,,,2026-04-07T00:00:00.000Z,https://www.shine.com/jobs/python-data-analysis-modeller/people-prime-worldwide/18902308,"Role Overview:
Our client, a French multinational IT services and consulting company, is looking for a skilled individual like you to join their team. As a data engineer, you will play a crucial role in developing and configuring data pipelines across various platforms and technologies. You will be "
"Data Analyst - Power BI, Tableau & Python",KPMG India Services LLP,IN,False,,,,,2026-03-23T00:00:00.000Z,https://www.shine.com/jobs/data-analyst-power-bi-tableau-python/kpmg-india-services-llp/18803488,"As a Data Analyst with 4-6 years of experience in Power BI/Tableau and Python, you will be joining a dynamic data analytics team in Bangalore. Your primary responsibilities will include:

- Data Analysis:
- Analyzing complex data sets to identify trends, patterns, and insights.
- Utilizing Python fo"
Power BI Microsoft - Executive / Data Analyst,Sone India,IN,False,,,,,2026-04-10T00:00:00.000Z,https://in.indeed.com/viewjob?jk=1aa846f55f92a8e0&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,"• The data analyst will connect, cleanse, maintain, report on, and evaluate the daily & monthly data.
• Candidate will be responsible for managing the processes associated with data acquisition, data on-boarding, data tracking, and reporting in Power BI/Tableau.
• The primary functions are to conduc"
Power BI Analyst,Adecco,Bengaluru,False,,,,,2026-04-08T00:00:00.000Z,https://www.bayt.com/en/india/jobs/power-bi-analyst-74398047/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,"About Company:

A leading global energy and technology-driven enterprise with operations across multiple countries.

The organization is known for its integrated business model spanning production, operations, and advanced engineering solutions.

It strongly invests in digital transformation, innova"
